snake_x,snake_y,apple_x,apple_y,change_x,change_y,optimal_direction
208,208,176,256,1,1,up
208,216,176,256,0,1,up
208,224,176,256,0,1,up
208,232,176,256,0,1,up
208,240,176,256,0,1,up
208,248,176,256,0,1,up
208,256,176,256,0,1,left
200,256,176,256,-1,0,left
192,256,176,256,-1,0,left
184,256,176,256,-1,0,left
176,256,40,224,-1,0,down
176,248,40,224,0,-1,down
176,240,40,224,0,-1,down
176,232,40,224,0,-1,down
176,224,40,224,0,-1,left
168,224,40,224,-1,0,left
160,224,40,224,-1,0,left
152,224,40,224,-1,0,left
144,224,40,224,-1,0,left
136,224,40,224,-1,0,left
128,224,40,224,-1,0,left
120,224,40,224,-1,0,left
112,224,40,224,-1,0,left
104,224,40,224,-1,0,left
96,224,40,224,-1,0,left
88,224,40,224,-1,0,left
80,224,40,224,-1,0,left
72,224,40,224,-1,0,left
64,224,40,224,-1,0,left
56,224,40,224,-1,0,left
48,224,40,224,-1,0,left
40,224,168,256,-1,0,up
40,232,168,256,0,1,up
40,240,168,256,0,1,up
40,248,168,256,0,1,up
40,256,168,256,0,1,right
48,256,168,256,1,0,right
56,256,168,256,1,0,right
64,256,168,256,1,0,right
72,256,168,256,1,0,right
80,256,168,256,1,0,right
88,256,168,256,1,0,right
96,256,168,256,1,0,right
104,256,168,256,1,0,right
112,256,168,256,1,0,right
120,256,168,256,1,0,right
128,256,168,256,1,0,right
136,256,168,256,1,0,right
144,256,168,256,1,0,right
152,256,168,256,1,0,right
160,256,168,256,1,0,right
168,256,352,72,1,0,down
168,248,352,72,0,-1,down
168,240,352,72,0,-1,down
168,232,352,72,0,-1,down
168,224,352,72,0,-1,down
168,216,352,72,0,-1,down
168,208,352,72,0,-1,down
168,200,352,72,0,-1,down
168,192,352,72,0,-1,down
168,184,352,72,0,-1,down
168,176,352,72,0,-1,down
168,168,352,72,0,-1,down
168,160,352,72,0,-1,down
168,152,352,72,0,-1,down
168,144,352,72,0,-1,down
168,136,352,72,0,-1,down
168,128,352,72,0,-1,down
168,120,352,72,0,-1,down
168,112,352,72,0,-1,down
168,104,352,72,0,-1,down
168,96,352,72,0,-1,down
168,88,352,72,0,-1,down
168,80,352,72,0,-1,down
168,72,352,72,0,-1,right
176,72,352,72,1,0,right
184,72,352,72,1,0,right
192,72,352,72,1,0,right
200,72,352,72,1,0,right
208,72,352,72,1,0,right
216,72,352,72,1,0,right
224,72,352,72,1,0,right
232,72,352,72,1,0,right
240,72,352,72,1,0,right
248,72,352,72,1,0,right
256,72,352,72,1,0,right
264,72,352,72,1,0,right
272,72,352,72,1,0,right
280,72,352,72,1,0,right
288,72,352,72,1,0,right
296,72,352,72,1,0,right
304,72,352,72,1,0,right
312,72,352,72,1,0,right
320,72,352,72,1,0,right
328,72,352,72,1,0,right
336,72,352,72,1,0,right
344,72,352,72,1,0,right
352,72,88,16,1,0,down
352,64,88,16,0,-1,down
352,56,88,16,0,-1,down
352,48,88,16,0,-1,down
352,40,88,16,0,-1,down
352,32,88,16,0,-1,down
352,24,88,16,0,-1,down
352,16,88,16,0,-1,left
344,16,88,16,-1,0,left
336,16,88,16,-1,0,left
328,16,88,16,-1,0,left
320,16,88,16,-1,0,left
312,16,88,16,-1,0,left
304,16,88,16,-1,0,left
296,16,88,16,-1,0,left
288,16,88,16,-1,0,left
280,16,88,16,-1,0,left
272,16,88,16,-1,0,left
264,16,88,16,-1,0,left
256,16,88,16,-1,0,left
248,16,88,16,-1,0,left
240,16,88,16,-1,0,left
232,16,88,16,-1,0,left
224,16,88,16,-1,0,left
216,16,88,16,-1,0,left
208,16,88,16,-1,0,left
200,16,88,16,-1,0,left
192,16,88,16,-1,0,left
184,16,88,16,-1,0,left
176,16,88,16,-1,0,left
168,16,88,16,-1,0,left
160,16,88,16,-1,0,left
152,16,88,16,-1,0,left
144,16,88,16,-1,0,left
136,16,88,16,-1,0,left
128,16,88,16,-1,0,left
120,16,88,16,-1,0,left
112,16,88,16,-1,0,left
104,16,88,16,-1,0,left
96,16,88,16,-1,0,left
88,16,288,48,-1,0,up
88,24,288,48,0,1,up
88,32,288,48,0,1,up
88,40,288,48,0,1,up
88,48,288,48,0,1,right
96,48,288,48,1,0,right
104,48,288,48,1,0,right
112,48,288,48,1,0,right
120,48,288,48,1,0,right
128,48,288,48,1,0,right
136,48,288,48,1,0,right
144,48,288,48,1,0,right
152,48,288,48,1,0,right
160,48,288,48,1,0,right
168,48,288,48,1,0,right
176,48,288,48,1,0,right
184,48,288,48,1,0,right
192,48,288,48,1,0,right
200,48,288,48,1,0,right
208,48,288,48,1,0,right
216,48,288,48,1,0,right
224,48,288,48,1,0,right
232,48,288,48,1,0,right
240,48,288,48,1,0,right
248,48,288,48,1,0,right
256,48,288,48,1,0,right
264,48,288,48,1,0,right
272,48,288,48,1,0,right
280,48,288,48,1,0,right
288,48,344,376,1,0,up
288,56,344,376,0,1,up
288,64,344,376,0,1,up
288,72,344,376,0,1,up
288,80,344,376,0,1,up
288,88,344,376,0,1,up
288,96,344,376,0,1,up
288,104,344,376,0,1,up
288,112,344,376,0,1,up
288,120,344,376,0,1,up
288,128,344,376,0,1,up
288,136,344,376,0,1,up
288,144,344,376,0,1,up
288,152,344,376,0,1,up
288,160,344,376,0,1,up
288,168,344,376,0,1,up
288,176,344,376,0,1,up
288,184,344,376,0,1,up
288,192,344,376,0,1,up
288,200,344,376,0,1,up
288,208,344,376,0,1,up
288,216,344,376,0,1,up
288,224,344,376,0,1,up
288,232,344,376,0,1,up
288,240,344,376,0,1,up
288,248,344,376,0,1,up
288,256,344,376,0,1,up
288,264,344,376,0,1,up
288,272,344,376,0,1,up
288,280,344,376,0,1,up
288,288,344,376,0,1,up
288,296,344,376,0,1,up
288,304,344,376,0,1,up
288,312,344,376,0,1,up
288,320,344,376,0,1,up
288,328,344,376,0,1,up
288,336,344,376,0,1,up
288,344,344,376,0,1,up
288,352,344,376,0,1,up
288,360,344,376,0,1,up
288,368,344,376,0,1,up
288,376,344,376,0,1,right
296,376,344,376,1,0,right
304,376,344,376,1,0,right
312,376,344,376,1,0,right
320,376,344,376,1,0,right
328,376,344,376,1,0,right
336,376,344,376,1,0,right
344,376,104,280,1,0,down
344,368,104,280,0,-1,down
344,360,104,280,0,-1,down
344,352,104,280,0,-1,down
344,344,104,280,0,-1,down
344,336,104,280,0,-1,down
344,328,104,280,0,-1,down
344,320,104,280,0,-1,down
344,312,104,280,0,-1,down
344,304,104,280,0,-1,down
344,296,104,280,0,-1,down
344,288,104,280,0,-1,down
344,280,104,280,0,-1,left
336,280,104,280,-1,0,left
328,280,104,280,-1,0,left
320,280,104,280,-1,0,left
312,280,104,280,-1,0,left
304,280,104,280,-1,0,left
296,280,104,280,-1,0,left
288,280,104,280,-1,0,left
280,280,104,280,-1,0,left
272,280,104,280,-1,0,left
264,280,104,280,-1,0,left
256,280,104,280,-1,0,left
248,280,104,280,-1,0,left
240,280,104,280,-1,0,left
232,280,104,280,-1,0,left
